ID,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,renovated,zipcode,lat,long,sqft_living15,sqft_lot15
16349,3,2,2150,5400,1.5,0,0,4,7,1380,770,1911,0,0,98126,47.555,-122.379,1940,6500
16350,3,2.5,3930,55867,1,1,4,4,8,2330,1600,1957,0,0,98034,47.7022,-122.224,2730,26324
16351,3,1.75,1140,22267,1,0,0,3,7,1140,0,1986,0,0,98045,47.4761,-121.758,1150,15625
16352,3,2.5,1640,5097,2,0,0,3,7,1640,0,1969,0,0,98155,47.7522,-122.278,1880,6000
16353,3,1.5,1255,1374,3,0,0,3,7,1255,0,2004,0,0,98125,47.7145,-122.311,1307,1232
16354,3,1,1290,12231,1,0,0,3,7,1290,0,1976,0,0,98072,47.7404,-122.11,1390,11632
16355,3,1.5,1950,15954,1,0,0,4,8,1950,0,1959,0,0,98003,47.336,-122.319,1940,12667
16356,3,1.75,1550,4708,1,0,0,4,7,860,690,1949,0,0,98115,47.6759,-122.286,1880,5600
16357,4,2.75,2510,11880,1,0,0,5,8,1630,880,1978,0,0,98006,47.5427,-122.181,2390,11211
16358,2,1,1010,3000,1,0,0,4,7,1010,0,1925,0,0,98045,47.4965,-121.785,1150,7000
16359,2,1.5,1120,17487,1,0,0,3,6,1120,0,1924,0,0,98178,47.5024,-122.271,1690,8056
16360,4,3,2580,209523,2,0,0,3,8,2580,0,1984,0,0,98053,47.6932,-122.006,3440,213444
16361,5,2.75,2990,6768,2,0,0,3,9,2990,0,2014,0,0,98006,47.5462,-122.182,2870,6768
16362,5,2.5,4570,19252,2,0,0,5,10,4570,0,1965,0,0,98040,47.5553,-122.22,3180,13314
16363,2,1,800,4342,1,0,0,3,6,670,130,1927,0,0,98115,47.6997,-122.316,1210,4343
16364,5,2.5,2830,25958,1,0,1,5,8,1610,1220,1979,0,0,98075,47.5896,-122.083,2670,21567
16365,2,1,820,5100,1,0,0,3,6,820,0,1953,0,0,98118,47.5156,-122.262,1170,5304
16366,4,2,2180,10575,1,0,0,2,6,1730,450,1950,0,0,98005,47.589,-122.177,2180,12010
16367,4,2,1400,3600,1,0,0,3,7,1100,300,1900,0,0,98119,47.6385,-122.37,1630,2048
16368,4,3.25,4670,51836,2,0,0,4,12,4670,0,1988,0,0,98005,47.635,-122.164,4230,41075
16369,3,2.5,2140,2770,2,0,0,3,8,1770,370,2007,0,0,98052,47.6664,-122.131,2510,2708
16370,5,3,2520,5500,1,0,0,3,8,1550,970,2004,0,0,98178,47.4938,-122.255,1700,8000
16371,3,1.75,1970,7972,1,0,3,5,8,1370,600,1976,0,0,98055,47.4908,-122.225,2460,9796
16372,3,2.25,1540,17424,2,0,0,3,7,1540,0,1992,0,0,98045,47.4429,-121.759,1560,11439
16373,3,2.75,2090,8354,2,0,0,3,8,2090,0,2012,0,0,98019,47.7336,-121.965,2280,6348
16374,4,2.5,2210,17715,2,0,0,3,8,2210,0,1997,0,0,98030,47.3818,-122.2,2210,16907
16375,3,2,2100,72745,1,0,0,4,9,2100,0,1995,0,0,98077,47.7479,-122.062,2290,54885
16376,3,2.5,2170,4912,2,0,0,3,7,2170,0,2003,0,0,98028,47.7767,-122.239,2010,4395
16377,4,1.5,1510,6460,1,0,0,3,7,1070,440,1970,0,0,98034,47.7121,-122.214,1450,6630
16378,4,2.25,2400,13430,1,0,0,4,9,2400,0,1964,0,0,98005,47.5987,-122.178,2580,10077
16379,5,1.5,2830,4000,2.5,0,0,4,8,2830,0,1918,0,0,98118,47.5132,-122.262,1480,4000
16380,3,2,1400,218252,1,0,0,3,7,1400,0,1997,0,0,98019,47.7576,-121.934,2230,218222
16381,3,2.25,2060,31400,2,0,0,3,8,2060,0,1984,0,0,98074,47.6216,-122.056,2160,34500
16382,2,2,1100,3000,1.5,0,0,3,7,1100,0,1912,2005,1,98117,47.6797,-122.362,1390,4000
16383,4,2.5,2710,5880,2,0,0,3,9,2710,0,1998,0,0,98092,47.3314,-122.172,2520,6000
16384,5,4.25,4860,9453,1.5,0,1,5,10,3100,1760,1905,0,0,98112,47.6196,-122.286,3150,8557
16385,3,1.75,1590,8219,1.5,0,0,5,6,970,620,1938,0,0,98034,47.7146,-122.217,2030,7504
16386,2,1,1280,5400,1,0,0,3,7,1280,0,1964,0,0,98117,47.6949,-122.371,1540,5670
16387,4,2,2090,40419,1,0,0,4,7,2090,0,1984,0,0,98027,47.4691,-121.993,2380,63162
16388,3,1.75,1730,8400,1,0,0,4,7,1400,330,1980,0,0,98052,47.6792,-122.115,1830,8636
16389,3,2.5,2100,4700,2,0,0,3,8,2100,0,1999,0,0,98065,47.5341,-121.867,2100,4700
16390,4,3.5,4270,40097,1,0,0,4,12,4270,0,1993,0,0,98077,47.7354,-122.078,3510,36149
16391,3,2,1340,2720,1.5,0,0,3,7,1340,0,1913,0,0,98103,47.6518,-122.335,2030,4590
16392,4,2.5,3190,8684,1,0,3,5,9,1680,1510,1967,0,0,98006,47.5619,-122.162,3160,8684
16393,4,1,1550,7740,1.5,0,0,3,6,1550,0,1954,0,0,98126,47.5222,-122.375,1220,7740
16394,4,4.25,4890,15188,2,0,2,3,11,3090,1800,1999,0,0,98040,47.5602,-122.227,3470,16201
16395,5,2.75,2760,5000,2,0,0,3,9,2760,0,2005,0,0,98059,47.539,-122.188,2870,5030
16396,4,2.5,2030,4997,2,0,0,3,8,2030,0,2004,0,0,98031,47.393,-122.184,2095,5500
16397,3,2,3010,5000,2,0,2,5,9,1890,1120,1931,0,0,98199,47.6347,-122.396,2688,5000
16398,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,0,98133,47.7493,-122.351,1810,8100
16399,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,0,98133,47.7493,-122.351,1810,8100
16400,3,1,970,5000,1,0,0,3,6,970,0,1968,0,0,98118,47.5282,-122.279,1290,5875
16401,3,1.75,1910,5753,1,0,3,3,8,1110,800,1941,0,0,98115,47.6898,-122.327,1630,5580
16402,2,1.75,1350,4003,1,0,0,3,8,1350,0,2004,0,0,98053,47.7176,-122.033,1350,4479
16403,4,2.5,2470,7780,2,0,0,3,8,2470,0,2002,0,0,98092,47.3337,-122.191,2100,5972
16404,3,1,1340,5175,1,0,0,3,7,940,400,1987,0,0,98133,47.7321,-122.34,1020,5500
16405,3,1,1620,30736,1.5,0,0,4,7,1620,0,1911,1977,1,98006,47.5719,-122.119,2440,28826
16406,3,2.25,2300,35287,2,0,0,3,8,2300,0,1977,0,0,98022,47.2477,-121.937,1760,47916
16407,5,2.75,2400,8050,2,0,0,3,8,2400,0,1998,0,0,98092,47.2635,-122.209,2400,8050
16408,4,2.5,1790,6120,2,0,0,3,7,1790,0,2005,0,0,98059,47.4829,-122.128,1950,5660
16409,3,2.5,1720,6271,2,0,0,3,7,1720,0,1993,0,0,98038,47.3898,-122.049,1570,6587
16410,4,2.75,2980,13260,1,0,0,4,8,1800,1180,1979,0,0,98056,47.5152,-122.197,1920,10731
16411,3,1.75,1650,10150,1,0,0,3,8,1230,420,1976,0,0,98033,47.6963,-122.169,1930,8958
16412,3,1.75,1830,4160,1,0,0,3,7,1230,600,1919,0,0,98144,47.5962,-122.288,1950,4160
16413,3,1.5,1260,9570,1,0,0,3,7,870,390,1941,0,0,98115,47.7004,-122.305,1620,7000
16414,3,2.5,1940,10035,2,0,0,4,8,1940,0,1994,0,0,98072,47.7438,-122.172,2810,8333
16415,3,2.5,3000,25341,2,0,0,3,9,3000,0,1995,0,0,98053,47.6724,-122.013,3000,32417
16416,5,2.5,1710,7700,1.5,0,0,3,7,1710,0,1962,0,0,98007,47.5922,-122.146,1530,7700
16417,5,2.5,3160,11470,1,0,0,4,9,1780,1380,1971,0,0,98040,47.5368,-122.216,3260,11470
16418,3,2.5,2680,28243,2,0,0,3,9,2680,0,1993,0,0,98077,47.7637,-122.05,2670,32130
16419,4,3.5,3810,13592,1,0,1,3,9,2560,1250,2013,0,0,98056,47.5134,-122.2,3230,9311
16420,3,1.75,1250,6041,1.5,0,0,5,7,1250,0,1942,0,0,98115,47.69,-122.304,1180,6042
16421,3,1,1400,4800,1,0,0,4,6,700,700,1917,0,0,98136,47.5499,-122.391,1470,6000
16422,3,1.75,1420,8738,1,0,0,4,7,1420,0,1966,0,0,98002,47.3113,-122.207,1660,8738
16423,3,3.25,1570,1777,2,0,0,3,8,1260,310,2007,0,0,98107,47.6655,-122.369,1000,1777
16424,3,1.75,1560,4049,1.5,0,2,3,7,1000,560,1926,0,0,98126,47.5666,-122.375,1430,3738
16425,3,1.5,2390,4600,2,0,0,3,8,1750,640,1920,1995,1,98118,47.5383,-122.268,1690,5220
16426,3,2.5,1320,2614,2,0,0,3,7,1320,0,2005,0,0,98118,47.5355,-122.283,1320,2533
16427,4,2.5,2790,4650,2,0,0,3,8,2790,0,2004,0,0,98038,47.3556,-122.026,2820,4650
16428,3,2.5,2020,6564,1,0,0,3,7,1310,710,1994,0,0,98042,47.3545,-122.158,1710,5151
16429,5,2.5,2750,5589,1.5,0,0,5,9,1840,910,1910,0,0,98112,47.6364,-122.3,1460,4250
16430,4,1.5,2150,23568,1,0,0,4,7,2150,0,1950,0,0,98166,47.4522,-122.355,2150,10125
16431,3,1,1490,10650,1,0,0,3,7,1150,340,1963,0,0,98033,47.663,-122.178,1730,9800
16432,3,2.5,2020,1159,3,0,3,3,8,2020,0,2000,0,0,98103,47.6617,-122.356,1920,3600
16433,3,1.75,2100,14850,1,0,0,4,7,2100,0,1963,0,0,98042,47.3622,-122.059,1930,17238
16434,3,1,1350,8581,1,0,0,5,6,1350,0,1944,0,0,98177,47.7612,-122.362,2080,8451
16435,4,2.5,2740,43101,2,0,0,3,9,2740,0,1993,0,0,98077,47.7649,-122.049,2740,33447
